make	maker, manufacturer
do	designer, developer, director
get	
need	need, needy
regret	regret
find	
have	human
see	scientist
prove	physicist, philosopher, psychologist
eat	eater, employee, economist, expert, entrepreneur, engineer
try	
know	
like	
use	user, utilitarian
take	thief
finish	
win	winner
lose	loser
love	lover
own	owner
say	speaker
remember	researcher
handle	
deserve	deserving
buy	buyer, businessman
break	breaker
catch	catcher, catch, cat, collector
fix	
miss	mistake, miss
survive	survivor, scientist, survival, self, soul
believe	believer
kill	killer
be	being
want	
admit	atheist, analyst, activist, author, auditor
hate	hate
write	writer
crush	crush, critic
feel	
hear	
wear	wearer, worker, woman
nail	
forget	fool
save	scientist
stop	
read	reader, researcher
destroy	designer, destroyer
sell	salesman, seller
drink	drunk, drink, drinking, doctor
burn	burn, burner, burning, burned
call	caller
realize	
earn	entrepreneur, employee, economist, engineer
manage	manager
explain	economist, expert, engineer
pull	programmer, producer, person, pull
recognize	researcher
steal	steal, stealing
blow	
appreciate	artist, astronomer, appreciation, atheist
bring	
understand	
throw	throw, throwing, thrown, thief
solve	scientist
beat	
enjoy	enthusiast, employee, educator
learn	
keep	keeper
show	scientist
start	startup
ruin	
smoke	smoker, smoke, shaman
crack	crack, compiler
accept	atheist, anarchist, activist, artist, academic
cut	cutter, contractor, cut
carry	courier, carrier, carry
answer	astronomer, academic, analyst, atheist
swallow	swallow, scientist
taste	taste
publish	publisher, publication, poet
give	gift
open	
drop	drop, designer, diver
sign	sign, signature, signing
build	builder
claim	claimant, claim, creator, capitalist, collector
end	end, executive, entrepreneur
post	poster, post, person
print	printer, publisher, print, printing, person
smell	smell, scent, scientist
touch	touch, technician
hit	hitter, hacker, hit
doubt	doubt
attempt	artist, amateur, architect, artisan, agent
tell	translator
discover	
name	name
share	
fight	fighter
grab	grab
spill	spill, sponge, spilling, scientist, speaker, spoon
report	reporter
hold	holder, hold, holding, hand
pass	person, politician, philosopher, pass
close	closure
think	thinker, theorist
deliver	director, developer, designer
suck	suck, sucker
test	test, theorist
ride	rider, ride
complete	creator
face	
smash	scientist
run	
