die	dead, deceased, disabled
win	
be	
survive	strong, sentient, saved
fail	
succeed	successful, smart, strong
live	living
pass	present, proficient, passed
do	done
cry	crying
know	knowledgeable, knowing, known
fall	falling, fallen
work	working
leave	leaving
not	not
come	coming
return	recovered, restored, returned
lose	lost, losing
stay	stable, safe
bite	bitten, biting
tell	there
answer	able, available
try	tried, trying, tested
explode	explosive, exploding
disappear	dead, disabled
go	gone
fly	flying, flown
happen	happening
help	helpful, human
run	running
respond	responsive, responding
sue	sued
change	changed, changing
remember	remembered
last	
too	
eat	eating, edible
have	had
listen	listening
pay	paid, present
miss	missing, mistaken, missed
understand	understood, understanding
retire	retired
suffer	suffering, sentient
see	seen, seeing, sentient
talk	talking
recover	recovered, revived, resilient
starve	starving, starved
learn	learned, learning
say	said, something
wait	waiting, willing
stop	stopped, sentient, stopping, slow, safe
scream	screaming
remain	
finish	finished
rise	
break	broken, broke
follow	followed, following
quit	quitting, quit
lie	lying
disagree	different
graduate	
burn	burned, burning, burnt
end	ending, end, ended
laugh	laughing
strike	striking, struck, strong
smile	smiling
hurt	hurt, harmful, harmed
call	called, connected
walk	walking
deliver	delivered, delivering
ask	asked, asking, able, available
prevail	powerful
stick	solid, stuck, stable, strong, sturdy, sticky
sleep	sleeping, sentient
apologize	apologizing
explain	explained
kill	killed
perish	
write	writing, written
vomit	vomiting, vomit
speak	sentient, speaking
fold	folded, flexible, folding, fold, functional, flat
agree	agreed, agreeable
drown	drowning, drowned, dead, disabled
suffice	sufficient
care	competent, caring
resign	resigned, removed
exist	existing, exist
teach	taught, teaching
never	
testify	truthful
collapse	compromised
vanish	visible
protest	present, peaceful, protesting
decide	determined, decided
triumph	
sing	singing
stand	standing, strong, sturdy
rest	rested, resting
count	counted, counting
drink	drunk, drinking
continue	
crash	capable
escape	
fight	fighting
heal	healed, healthy, human, healing
blink	blinking, blind
soon	sentient, smart
show	seen, shown
refuse	refused, rejected
choose	chosen
move	moving, mobile, moved
watch	watching, watched
shine	special, successful
matter	
think	thinking
now	now
emerge	
grow	growing, green, grown
visit	visited, visiting
play	playable, proficient, playing
fit	fit, flexible, functional, fitted
suck	sucking, sentient, suck, sucked, stupid
burst	born, burst, bursting
notice	noticed, noticeable, nearby
fade	fading
bleed	bleeding, bleed
again	able, alive
share	shared, sharing, someone
arrive	able, alive, available
anyway	able, alive
cave	capable
weep	weeping
rebel	rebellious, radical, rebel
bail	bail
forget	forgotten
read	reading, read
bolt	bolted, bolt
retaliate	
reply	
crack	crack, cracked, cracking
rule	
resist	resistant, resisting
appear	alive, able
appeal	able, available, appealing
disappoint	difficult
me	me, myself
freeze	frozen, freezing, flexible
pop	pop, popped
sell	sold, selling
shoot	shot
eventually	
pray	praying
drive	disabled, driving
take	taken
land	land
complain	complaining
thrive	thriving
struggle	struggling, strong
start	started, successful
stink	stink, sentient
turn	turned, turning
comply	compliant, competent
lead	leader
succumb	strong, sentient
hope	hopeful, hope, human
ever	ever
expire	expired
hit	hit, hitting, hard
choke	choking, choked
persist	persistent, present
vote	voting
make	made
confess	confessed, christian
snap	snapped, sentient, sharp, strong
evolve	evolving
match	matched, matching
approve	approved, authorized, acceptable, allowed
give	given, good
melt	melted, melting, melt, molten
endure	
marry	married, male
crumble	
decline	disabled, declining, depressed, dead
always	able, always, alive
publish	published, publishing, printed
serve	served, serving
manage	managed
tweet	tweeting, twitter, tweeted
close	closed, close
march	marching, mobile
though	
hear	heard, hearing, human
someday	sentient, superhuman
react	reactive, ready
sign	signed, sentient
look	looking
kiss	kissing, kissed
intervene	involved, intervening
ride	ridden
perform	performing, present, proficient
obey	obedient
hold	human, held
settle	settled, stable, settling
revolt	rebellious, revolutionary, radical
drop	dropped, dropping, disabled
join	joined
slip	slippery
attack	armed, attacked, aggressive, attacking, able
believe	believed, believing
travel	traveling, travelling
attend	attending, available
sink	submerged, solid, sink, strong, sinking
improve	improved, improving
argue	able
guess	guessing
reconsider	rational
cook	competent, capable, cooking, cooked
please	polite, pleasing, pleasant
worry	worried, worrying
object	object, objects, objective
qualify	qualified
post	posted, published
judge	
volunteer	volunteering
erupt	explosive
mourn	mourning
next	
