die	donor, deceased, death, doctor, diabetic, dead, defendant, die, doe, dog
win	winner, whistleblower, win, witness, warrior, winners, woman, worker, winning, wrestler
survive	survivor, suspect, superhero, soldier, scientist, shooter, suicide, stranger, student, savior
be	bully, beneficiary, brother, black, buddhist, bigot, battery, baby, believer, brown
fail	failure, fail, follower, failing, fraud, friend, failed, fault, fake, fool
succeed	success, successful, survivor, supporter, star, superhero, scientist, sponsor, student, supervisor
live	leader, living, liar, legend, lead, live, listener, lesbian, loser, life
pass	participant, person, perpetrator, pass, parent, peer, pupil, predator, party, plaintiff
cry	child, criminal, cop, citizen, coward, christian, celebrity, caller, customer, cry
do	donor, defendant, delinquent, director, detective, doctor, doe, developer, deputy, driver
know	killer, key, kid, known, keeper, king, know, kin, knight, kd
fall	fall, friend, firefighter, falling, female, fallen, follower, fellow, fan, felon
leave	landlord, liar, local, leader, lawyer, lookout, loser, lesbian, libertarian, lie
work	whistleblower, worker, witness, winner, wolf, warrior, writer, well, woman, witch
come	citizen, criminal, child, coward, constituent, cop, celebrity, candidate, collaborator, culprit
not	neighbor, nazi, negative, nuisance, ninja, narc, neighbour, no, nurse, not
lose	loser, liar, leader, loss, liability, lion, lose, losing, lost, lawyer
return	relative, refugee, resident, runaway, respondent, ranger, rat, reporter, runner, robot
bite	bully, bite, bear, baby, butcher, bug, beast, boy, bitten, bait
explode	employee, enemy, explode, expert, explosive, engineer, european, ed, eyewitness, explosion
answer	answer, adult, agent, anonymous, accuser, attacker, ally, alien, anon, ater
disappear	defendant, donor, doe, deceased, detective, demon, drone, delinquent, duplicate, diver
try	target, threat, terrorist, thief, traitor, teammate, teacher, trainer, teen, td
tell	teacher, terrorist, teen, threat, thief, teenager, teammate, transient, target, taxpayer
stay	suspect, survivor, stranger, sponsor, supervisor, supporter, student, shooter, subject, soldier
fly	flyer, friend, firefighter, fighter, female, fan, fugitive, fly, flight, fellow
happen	hero, handler, helper, human, hacker, hunter, homosexual, hostage, homeowner, host
go	guardian, gunman, gang, guide, ghost, group, gamer, guard, girl, green
help	hero, helper, help, heroes, heroic, humanitarian, human, helpful, helping, handler
sue	suspect, student, shareholder, supervisor, spouse, survivor, supporter, source, subject, solicitor
respond	respondent, response, reporter, relative, recipient, robot, refugee, referee, racist, receiver
remember	reader, recipient, relative, respondent, researcher, representative, resident, reporter, ranger, referee
run	runner, runaway, refugee, risk, racist, rat, robber, rogue, reporter, rapist
change	change, citizen, champion, contributor, child, candidate, collaborator, creator, customer, community
eat	eater, employee, expert, european, er, example, enemy, eat, eating, extremist
last	leader, liar, loser, lawyer, lead, local, legend, listener, lion, liability
too	terrorist, threat, target, thief, teacher, traitor, thug, teen, taxpayer, teammate
miss	minor, miss, murderer, mistake, missing, minority, member, missed, manager, monster
pay	perpetrator, plaintiff, party, person, parent, patron, participant, principal, partner, patient
listen	listener, leader, liar, listening, listen, legislator, lawyer, lion, lawmaker, lead
retire	republican, resident, retirement, representative, relative, retired, respondent, retire, recipient, result
suffer	survivor, suspect, slave, suffering, suicide, statistic, smoker, student, subject, spectator
understand	user, understanding, utility, ufo, unique, useful, unit, utilitarian, universal, university
have	hero, hunter, hacker, homosexual, helper, handler, homeowner, human, hostage, host
starve	suspect, survivor, starving, student, stranger, slave, statistic, smoker, subject, senior
recover	relative, reward, researcher, runaway, respondent, recovery, ranger, robber, recovered, recipient
learn	leader, liar, lead, loser, listener, lesson, learning, learners, learned, lion
wait	witness, whistleblower, worker, woman, winner, wait, wolf, warrior, watch, waiter
rise	rebel, representative, raider, radical, ranger, revolutionary, respondent, rat, refugee, rapist
see	suspect, spectator, student, supervisor, subject, shooter, supporter, survivor, superhero, stranger
scream	suspect, shooter, student, survivor, stranger, superhero, spectator, scream, sibling, subject
talk	teacher, threat, terrorist, teen, thief, teenager, target, teammate, therapist, traitor
laugh	liar, laugh, loser, laughing, listener, leader, lion, lawyer, lesbian, lizard
remain	relative, resident, refugee, runaway, reporter, respondent, ranger, republican, racist, robber
strike	suspect, student, supervisor, strike, shooter, survivor, soldier, supporter, scout, stranger
say	suspect, student, shooter, supervisor, survivor, stranger, subject, source, supporter, speaker
burn	burn, burner, blm, bomb, burned, black, bully, bomber, battery, bear
stop	suspect, supervisor, student, stranger, subject, supporter, shooter, spectator, survivor, sponsor
follow	follower, friend, follow, failure, following, fan, fugitive, fake, fellow, followed
graduate	graduate, grad, gpa, guardian, genius, graduation, ga, gs, graduated, gp
