die	diehard, death, person, remorse, resurgence, dieassassination, dieassembly, dieagainst, diedifficulty, dieassumption, unrecorded, dieasnothing, diein, illhealth, unresolved, unrepeatable, unrepentant, dieasnoon, diebelief, unrecovery
win	winner, odds, dis, term, player, option, dispute, nominee, law, point, evidence, division, opponent, doubt, impartiality, assumption, contender, assignment, pearson, other
survive	survivor, survivors, survival, success, successor, insurance, result, assumption, resurrection, distribution, disaster, disambiguation, survivorresurrection, survivorsurvivor, survivorresurvivor, survivorsuccess, survivorresult
be	bet, being, betrothal, betrayal, beetle, bewilderment, presence, betwenment, beyond, betwixt, betweener, betwenth, betwender, benifits, betwetherment, betwenship, behestment, betwener, betonhale, beyonder
fail	failure, disaster, disruption, disappointment, distribution, disappearance, disambiguation, failinfailure, failinfailment, failintodozen, failinappoinment, failinresponsibility, failinresponse, failinappointee, failinassignment, failinassault, failintorespons, failincomprehension, failintruth, failintolerance
succeed	successor, action, nominee, assignment, governor, indication, successorresponsal, successorresponse, successorresponsibility, successoroverarchion, successoroverarchitect, successorresponsibilty, successorreceipt, successoroverarchial
live	liver, livery, livelihood, living, life, errand, ancestry, erection, absentee, errands, erroneousness, livein, liveed, liveer, liveeth, livability, liveee, livable, liveeig, livee
pass	pass, passover, passer, passing, passage, passivity, passenger, identification, passee, passfail, passangerment, passthrough, passivation, passiment, passfailer, passeion, passament, passeivation, passfailment, passeig
cry	cry, crying, crypt, cries, out, remembrance, recollection, resuscitation, criedout, crypty, cryptia, cryation, cryptism, cryer, crymation, cryptiation, cryptomania, criedover, cryasm, cryptie
do	doer, doom, doss, dose, dodo, dossier, dormancy, dovetails, domination, job, action, doityourself, doityourselfer, done, doing, dormant, dosing, doitityourself, doover, doitforyourself
know	knower, knowledge, naysayer, saber, savanna, narrator, saint, satellite, apprehension, naysayers, naysaying, knowitall, knowee, savunma, knowhow, savunmation, knownothing, sacrificial, nayknowledge, naytoknow
fall	fall, faller, delusion, reversal, repulsion, demise, recurrence, resurgence, devastation, resumption, dispersion, deterioration, repercussion, disintegration, fallsuccess, fallresult, disobedi, fallrecklessness, remors, fallresistance
leave	leave, leaver, eagle, detainee, departure, elimination, eloquence, emigrant, elision, emancipation, delinquent, delinquency, eviction, ecclesi, eloquent, ejectment, elcution, exitee, elcation, elosion
