die	death, die, dying, day, dead, deed, deaths, dies, demise, days
win	win, wins, winning, winner, won, war, work, will, wit, winners
survive	survival, suicide, success, surviving, survive, sacrifice, surplus, state, survived, split
be	body, binding, block, being, blasphemy, boolean, bundle, bind, be, behavior
fail	failure, fail, failing, failures, function, fault, fraud, fallacy, first, former
succeed	success, sacrifice, successful, sin, state, suicide, successes, sum, self, synthesis
live	life, living, live, lifetime, lifespan, law, latter, log, lifestyle, loop
pass	pass, passing, passage, process, predicate, passes, passed, progress, period, phase
cry	cry, crying, crisis, cycle, case, cascade, call, contraction, cause, cries
do	do, deed, doing, done, day, does, definition, debt, did, default
know	knowledge, know, knowing, king, kind, kernel, key, kindness, knows, known
fall	fall, falling, falls, failure, failing, function, flight, fell, first, flood
leave	leave, latter, leaving, law, loss, last, left, load, life, list
work	work, workshop, working, writing, workplace, workflow, wage, where, world, worker
come	coming, conversion, come, convergence, creation, covenant, computation, change, collection, convert
not	null, not, negative, nuisance, norm, ness, noun, non, no, node
lose	loss, lose, latter, losing, losses, law, loser, lost, lessness, loses
return	return, restitution, reconciliation, result, returns, repayment, redemption, restoration, recovery, refund
bite	bite, biting, bites, bug, behavior, bit, body, breach, bitten, bind
explode	explosion, execution, event, explosive, explode, exploding, exception, example, error, expression
answer	answer, argument, affirmative, action, answers, act, agreement, ambiguity, answering, analysis
disappear	disappearance, deletion, definition, death, disappear, day, deed, dissolution, disconnect, disappearing
try	try, time, test, tries, task, trying, times, timeout, type, testing
tell	telling, time, tell, tale, term, transition, times, transaction, true, transformation
stay	stay, state, separation, split, shift, sleep, shutdown, surplus, staying, second
fly	fly, flight, flying, function, first, form, fall, fishing, flies, following
happen	how, happen, happening, hat, happens, hing, habit, harm, happened, homicide
go	go, going, goal, gesture, gift, give, good, giving, group, get
help	help, helper, helping, helpful, helps, hug, healing, helpers, helped, hero
sue	suit, sue, strike, suing, suits, statute, second, same, slander, sued
respond	response, reply, reaction, responses, resistance, respond, retaliation, responding, result, riot
remember	recall, remembrance, remembering, remember, recollection, record, recognition, reminder, remembers, response
run	run, running, race, runtime, runs, runner, riot, result, races, rule
change	change, changes, constitution, changing, cycle, condition, constant, charter, conversion, crisis
eat	eating, eat, event, example, excess, eater, exception, episode, error, expression
last	last, lifetime, law, life, latter, lifespan, loop, log, loss, length
too	time, term, times, tree, transformation, theft, tuple, transaction, transition, type
miss	miss, missing, mistake, mismatch, misses, missed, misunderstanding, murder, mark, misuse
pay	payment, pay, payments, process, paying, period, paycheck, payout, promotion, price
listen	listen, listening, listener, loop, latter, log, list, letter, learning, language
retire	retirement, retire, retiring, retired, remainder, rule, resignation, retrospective, rest, ret
suffer	suffering, sin, suicide, sacrifice, suffer, situation, state, sis, surplus, struggle
understand	understanding, understand, usage, understood, use, unity, union, ught, unification, uction
have	have, hold, how, hash, hat, hip, having, has, holding, ha
starve	starvation, suicide, suffering, situation, sacrifice, sin, starving, slaughter, slavery, second
recover	recovery, recover, reconciliation, return, restoration, recovered, restitution, religion, ritual, redemption
learn	learning, lesson, learn, law, learned, latter, loop, lifetime, life, language
wait	wait, waiting, watch, while, waits, waited, withdrawal, withholding, watching, warning
rise	rise, revolution, rising, rebellion, revolt, resistance, resurrection, rally, rises, renaissance
see	see, seeing, sight, saw, state, seen, sense, sign, sum, statement
scream	scream, screaming, speech, sound, statement, shout, shouting, suicide, singing, swearing
talk	talk, time, term, talking, text, transaction, thing, times, talks, threat
laugh	laughter, laugh, laughing, latter, laughs, loop, laughed, last, law, log
remain	remainder, residual, rebellion, resistance, remaining, ritual, riot, religion, return, rape
strike	strike, strikes, striking, second, state, shutdown, struggle, swarm, split, success
say	statement, say, speech, saying, sum, state, sentence, said, second, statements
burn	burn, burning, burns, burned, burnt, blaze, body, burst, blackout, block
stop	stop, shutdown, stopping, state, slowdown, stops, suspension, start, second, split
follow	following, follow, function, follows, first, follower, faith, fit, former, fork
graduate	graduation, graduate, growth, grad, gift, generation, graduated, goal, graduating, grading
break	break, breaking, breakdown, breaks, breakup, broken, breach, block, broke, body
quit	quit, quitting, quote, quotation, quarter, quality, question, quarrel, qu, quest
lie	lie, lying, lies, latter, liar, leak, lock, law, laundering, lessness
finish	finish, finishing, function, final, failure, first, fork, following, finished, flow
smile	smile, smiling, smiles, success, speech, sign, statement, shine, scene, same
deliver	delivery, deliver, deed, day, distribution, declaration, delivering, debt, demand, definition
ask	ask, act, asking, answer, argument, action, assembly, asked, appropriation, assert
hurt	hurt, harm, hit, hurting, headache, homicide, hurts, healing, hat, hack
