Nominalization	Verb
abandonment	abandon
abasement	abase
abatement	abate
abolition	abolish
absentee	absent
absorption	absorb
abstention	abstain
abstraction	abstract
acceleration	accelerate
acceptance	accept
accommodation	accommodate
accompaniment	accompany
accomplishment	accomplish
accreditation	accredit
accretion	accrete
accrual	accrue
accumulation	accumulate
accusation	accuse
achievement	achieve
acknowledgement	acknowledge
acquisition	acquire
acquittal	acquit
action	act
activation	activate
adaptation	adapt
addition	add
addressee	address
adjournment	adjourn
adjudication	adjudicate
adjustment	adjust
administration	administer
admiration	admire
admission	admit
admittance	admit
admonition	admonish
adoption	adopt
advancement	advance
advertisement	advertise
advice	advise
adviser	advise
advisor	advise
aeration	aerate
affiliation	affiliate
affirmation	affirm
agglomeration	agglomerate
aggression	agress
agitation	agitate
agreement	agree
aid	aid
ailment	ail
alienation	alienate
alignment	align
allegation	allege
alliance	ally
allocation	allocate
allotment	allot
allowance	allow
allusion	allude
alteration	alter
amalgamation	amalgamate
amazement	amaze
amendment	amend
amortization	amortize
amusement	amuse
analysis	analyze
animation	animate
annihilation	annihilate
announcement	announce
announcer	announce
annoyance	annoy
annulment	annul
answer	answer
anticipation	anticipate
apology	apologize
apparition	appear
appeal	appeal
appearance	appear
appeasement	appease
application	apply
appointee	appoint
appointment	appoint
apportionment	apportion
appraisal	appraise
appreciation	appreciate
apprehension	apprehend
approach	approach
appropriation	appropriate
approval	approve
approximation	approximate
arbitration	arbitrate
argument	argue
arraignment	arraign
arrival	arrive
ascent	ascend
assassination	assassinate
assembly	assemble
assertion	assert
assessment	assess
assignment	assign
assistance	assist
association	associate
assumption	assume
assurance	assure
astonishment	astonish
atonement	atone
attachment	attach
attack	attack
attainment	attain
attempt	attempt
attendance	attend
attendee	attend
attention	attend
attraction	attract
augury	augur
authorization	authorize
automation	automate
average	average
avoidance	avoid
avowal	avow
banishment	banish
banker	bank
battle	battle
beneficiary	benefit
bereavement	bereave
bestowal	bestow
betrayal	betray
betrothal	betroth
betterment	better
bidder	bid
bill	bill
blame	blame
blockage	block
blocking	block
boiler	boil
bombardment	bombard
bomber	bomb
breaker	break
bribery	bribe
buffer	buff
builder	build
burglary	burgle
burial	bury
butchery	butcher
buyer	buy
cajolery	cajole
calculation	calculate
