die	die, death, Die, dies, dying, dead, Death
win	win, winner, Win
survive	survival, shell, survivor, survive, shelter, skeleton, shield, Survivor
be	
fail	function, failure, fail, failing, failed, Failure
succeed	success, succeed, succeeded
live	life, living, live, Life
pass	pass, parameter
cry	cry, crying, Cry, call, cat, cried, cries, child
do	
know	knowledge, key
fall	fall, falling, fell, Fall, falls, fallen
leave	list, last, left
work	work, worker
come	
not	noun, negative, null
lose	loss, lose, lost, loser, Loss
return	return, result, Return, receiver, returned
bite	bite, bug, beetle, bit, Bite, biting
explode	explosion, explosive, explode, exploded, exploding, Explosion, Explosive
answer	answer, array, argument, Answer, action, A
disappear	disappearance, disappear, drop, disappeared, disappearing
try	test, task, type, try
tell	
stay	string, shelf, symbol
fly	fly, flyer, flight
happen	
go	go
help	helper, help, Help, helpers
sue	suit, sue, sued, Suit
respond	response, reaction, reply, receiver, result
remember	record, reference, recall, remember, reminder, Record
run	run, result, runner
change	change
eat	eater, edible, egg, Egg, eat
last	lifetime, last, long, Last, lasts, longest
too	type, tree
miss	miss, mistake, missing
pay	payment, price
listen	listener, listen, listening, loop, list, Listen
retire	retirement, retire, RET, retired, RV, reserve, retiring, Retirement
suffer	suffering, suffer, symbol
understand	understanding
have	
starve	starve, starving, starvation, starch
recover	recovery, return, resource, result, recover
learn	lesson
wait	wait, waiting, Wait, while, Waiting, waits
rise	rise, rose, raise, rising, root, rocket
see	symbol
scream	scream, shout, screaming, Scream, slash, sound, screamed, screams
talk	talk, Talk
laugh	laugh, laughter, laughing, Laugh, laughs, log
remain	result
strike	strike, sword, Strike
say	statement, sentence, string
burn	burn, burner, burning, Burn, burned, burnt, burns
stop	stop, Stop, STOP
follow	following, follow, function, follower
graduate	
break	break, block, broken, breaker, Break, breaking
quit	quit, quitting, Quit
lie	lie, Lie, lying, lies, liar
finish	function, finish, file, final
smile	smile, Smile, smiling, smiles, smiled
deliver	delivery, Delivery
ask	ask, answer, agenda, Ask, argument, arrow, asking
hurt	hurt, hammer
end	end, End, ending, END, exit, endpoint
stick	stick, string, Stick
walk	walk, walking, Walk
explain	explanation, example, equation, essay
call	call, class, caller, constructor
perish	product, perish, package, potato, poison
apologize	apology, ant, Avatar
prevail	product
kill	kill, killer, Killer
sleep	sleep, Sleep, sleeper, sleeping, sock
disagree	
vomit	vomit, vomiting
write	
fold	fold, folding, folded, Fold, function, folds
speak	speaker, speech, string, sentence, Speaker
suffice	symbol
drown	dam, drowning, drown, Dolphin
exist	element, entity, example
teach	teacher, Teacher
agree	agreement, argument, action, agree, agreed
care	care, cell, concern, collector
collapse	collapse, class, closure, constructor
never	negative
protest	protest, protester, Protest, protesting, protests, protesters, petition
sing	song, string, sing, singer, singing, Song
vanish	vanish, vanishing, void, vacuum, vanished, vortex, Void
decide	decision
triumph	tree, type, tool
resign	resign, resignation, result
testify	testimony, table, tree
count	count, counter, column
drink	drink, Drink, drinks
