die	
win	win, winner
survive	survivor, structure
be	being
fail	failure, fail, failing, Failure
succeed	strategy, startup, success, system, solution
live	life, living
pass	pass, proposal, proof
cry	cry, child, cow, crying
do	
know	
fall	foundation, failure
leave	legacy, loss
work	
come	change
not	
lose	loss, loser
return	return, result, response
bite	bug, bite, beetle
explode	explosion, explosive, EMP, exploding, egg, earthquake
answer	answer, argument, affirmative, A, Answer, algorithm
disappear	disaster
try	try, test
tell	time
stay	structure
fly	fly
happen	
go	
help	
sue	suit
respond	response, reaction, robot, resistance
remember	record
run	
change	change, cycle, continuum
eat	egg, edible, eater
last	legacy, lifetime, life
too	thing
miss	miss, mistake
pay	profit, price
listen	listener, listen, listening, library
retire	RV, retirement
suffer	system, species
understand	understanding
have	house
starve	surplus
recover	recovery, resource
learn	
wait	wait, waiting
rise	
see	sight, see
scream	scream, sound, Scream
talk	talk
laugh	laugh, laughter
remain	remnant
strike	strike, spark
say	statement, slogan
burn	bomb, burn, brick
stop	stop, shutdown
follow	future
graduate	graduate
break	break, block, bug, bubble
quit	quit
lie	lie, liar, Lie
finish	
smile	smile, Smile
deliver	
ask	ask, answer, argument, asking, Ask, action
hurt	hurt
end	end, ending, event, experiment, endpoint, End
stick	symbol, slogan, sticker, structure, stick
walk	walk
explain	explanation, example, equation
call	callback, call, caller, compiler
perish	plant
apologize	apology, agreement, act, action
prevail	
kill	kill
sleep	sleeper, sleep
disagree	disagreement, disagree, dispute, difference
vomit	virus, vomit
write	
fold	fold
speak	speech, speaker, sentence
suffice	surplus, solution, supply, substitute, shelter
drown	disaster
exist	entity, existence, ecosystem, example, environment
teach	teacher
agree	agreement, argument, alliance, accommodation, alternative, accord
care	community, citizen, customer, child
collapse	collapse
never	nightmare
protest	protest
sing	song, soul
vanish	void, vacuum
decide	decision, democracy
triumph	triumph
resign	resignation
testify	testimony
count	count
drink	drink, drunk
