make	meaningful, much, mechanical, machine, mobile, modern, material, magical, mathematical, mean
do	difficult, different, dangerous, doing, determined, durable, dumb, demanding, done, deep
get	good, great, gifted, generic, greedy, goods, general, generous, grateful, green
need	necessary, needy, needed, need, nice, needing, needs, normal, near, new
regret	regret, real, rare, regrets, rude, risky, rich, reckless, recent, responsible
find	fast, far, familiar, fine, fortunate, famous, functional, fruitful, faint, found
have	high, happy, hard, helpful, healthy, human, highly, having, handy, heavy
see	smart, special, strong, similar, sensitive, small, significant, specific, simple, sharp
prove	powerful, persuasive, probable, plausible, positive, possible, proof, proven, popular, professional
try	trying, tough, technical, talented, tasty, tricky, tolerant, testing, tried, tempting
eat	easy, easily, edible, energetic, expensive, efficient, eating, enjoyable, effective, extraordinary
know	knowledgeable, knowing, knowledge, keen, know, knows, kind, known, knew, key
like	liked, lucky, likely, like, little, liking, long, large, loyal, loving
use	useful, unique, unusual, usable, user, understanding, used, uncommon, using, unlikely
win	well, wealthy, winning, worthwhile, worthy, weak, wise, wonderful, wanted, worth
take	tiny, tough, tangible, tasty, thin, trustworthy, talented, technical, tricky, trivial
finish	fast, far, focused, finished, fine, flexible, functional, fulfilling, famous, fortunate
lose	little, lucky, likely, low, losing, large, limited, lost, long, lose
love	loving, loved, lucky, loyal, little, long, love, large, lonely, lovely
own	own, old, owned, often, ordinary, original, owning, organized, open, object
remember	reliable, real, rich, rare, readable, recent, resilient, remarkable, relevant, rational
say	strong, smart, successful, specific, significant, serious, simple, stupid, special, skilled
deserve	deserving, different, desirable, difficult, deserved, deserve, deserves, dear, decent, dangerous
handle	high, hard, handy, helpful, human, heavy, highly, healthy, helpless, humanoid
buy	big, bad, beneficial, beautiful, basic, british, bright, bought, buying, broad
break	bad, big, brittle, broken, beautiful, brave, badly, bright, basic, breaking
catch	clever, close, common, capable, careful, clear, competent, cute, cool, cheap
fix	fast, fine, flexible, functional, fortunate, fixed, famous, fundamental, friendly, far
survive	strong, successful, special, small, stable, severe, smart, serious, survival, sick
miss	minor, much, misleading, mistaken, mobile, missing, meaningful, mean, malicious, messy
admit	authentic, accepting, accurate, agreeable, arrogant, able, admirable, ashamed, aware, angry
kill	knowledgeable, kind, killing, killed, keen, kill, knowing, kills, known, key
crush	close, capable, cool, clever, cold, cheap, complex, crushing, clumsy, complicated
believe	believing, believable, believed, believe, belief, bad, brave, bright, big, believes
want	wanted, well, wanting, willing, want, wealthy, weak, worthwhile, worthy, wants
hate	hated, hateful, hard, hate, happy, hating, hostile, human, horrible, highly
nail	nice, neat, near, notable, noteworthy, noticeable, necessary, natural, narrow, novel
write	well, writing, written, worthwhile, wonderful, wise, weak, wrong, weird, witty
hear	high, hearing, human, heard, happy, hard, helpful, hear, highly, healthy
forget	fast, fragile, foolish, frequent, frustrating, frequently, funny, fortunate, familiar, fine
be	beautiful, big, bright, bad, being, brave, brilliant, basic, beneficial, busy
feel	familiar, feeling, fine, faint, felt, fragile, fast, fluid, flexible, fundamental
wear	well, wearable, wealthy, white, wearing, worn, warm, willing, wide, worthy
save	successful, strong, special, smart, simple, significant, safe, small, secure, specific
stop	strong, slow, smart, successful, special, simple, skilled, serious, swift, small
read	readable, read, reading, real, reliable, rare, rich, remarkable, rapid, realistic
burn	bad, bright, big, beautiful, burning, brittle, badly, burnt, burned, brilliant
drink	drunk, difficult, dangerous, drinking, different, drink, deep, dark, delicious, delicate
destroy	dangerous, destructive, difficult, damaging, damaged, deadly, durable, different, devastating, delicate
realize	real, rich, remarkable, realistic, reasonable, rare, rational, realized, rapid, relevant
sell	successful, strong, small, skilled, smart, simple, special, significant, sophisticated, substantial
call	capable, clever, competent, complex, common, close, complicated, clear, creative, convenient
earn	expensive, easy, easily, efficient, earning, effective, earned, enjoyable, exciting, exceptional
explain	effective, efficient, expert, easy, entertaining, excellent, experienced, elegant, eminent, english
manage	mobile, much, mature, meaningful, management, managed, managerial, motivated, managing, messy
steal	sophisticated, small, smart, serious, simple, strong, successful, significant, similar, stupid
pull	powerful, precise, productive, potent, possible, portable, pretty, popular, persistent, power
recognize	real, recognizable, rare, readable, remarkable, reliable, recognized, realistic, reasonable, rich
appreciate	appreciated, attentive, attractive, amazing, awesome, authentic, aware, admirable, agreeable, articulate
blow	big, bad, bright, blunt, brittle, badly, beautiful, brief, bold, broad
throw	tough, talented, tall, technical, tricky, tiny, thrown, throwing, tasty, trivial
bring	beautiful, big, beneficial, bright, bad, basic, brave, brilliant, busy, best
solve	simple, smart, successful, special, strong, specific, small, sophisticated, skilled, significant
understand	understanding, useful, understandable, understood, unique, unusual, unclear, understands, understand, uncertain
enjoy	enjoyable, enthusiastic, entertaining, enjoying, excited, energetic, exciting, easy, engaged, enjoyed
learn	little, lucky, learning, limited, long, large, late, learned, likely, low
ruin	rare, risky, real, rich, reckless, rotten, rude, rough, reliable, responsible
crack	clever, complex, complicated, capable, creative, competent, cool, close, cracking, challenging
beat	big, bad, brave, bright, badly, best, beautiful, brilliant, beaten, bold
accept	accepting, agreeable, attractive, acceptable, able, authentic, accepted, adaptive, advanced, admirable
smoke	strong, sophisticated, successful, small, smart, simple, skilled, serious, similar, special
start	successful, simple, small, strong, smart, specific, similar, slow, skilled, swift
carry	capable, comfortable, competent, clever, compact, carrying, convenient, carried, cheap, cumbersome
keep	kind, key, knowledgeable, keen, keeping, knowing, kept, known, knowledge, kindly
answer	accurate, able, articulate, affirmative, accomplished, adept, authoritative, agreeable, advanced, attractive
swallow	strong, small, soft, solid, smart, sensitive, sick, substantial, sound, successful
taste	tasty, tasting, tactile, thirsty, taste, thin, tough, tempting, talented, true
show	special, smart, strong, successful, skilled, significant, simple, sophisticated, specific, similar
publish	powerful, productive, popular, prolific, promising, published, profitable, professional, prestigious, publishing
cut	cutting, cheap, complicated, complex, clever, creative, close, clear, capable, clean
give	good, gifted, generous, great, grateful, giving, genuine, given, goods, gift
drop	dangerous, difficult, different, destructive, dumb, deep, deft, damaging, delicate, durable
claim	credible, competent, certain, capable, common, clever, convincing, clear, confident, creative
open	open, old, ordinary, obvious, opened, often, opening, ok, object, online
print	powerful, precise, productive, portable, popular, pretty, professional, primitive, possible, poor
sign	strong, simple, smart, successful, skilled, significant, specific, special, small, similar
build	big, beautiful, bad, basic, bright, brave, brilliant, beneficial, boring, best
smell	strong, sensitive, specific, similar, strange, smelling, smell, strongly, smart, sweet
end	efficient, effective, easy, easily, effectively, expensive, early, efficiently, evil, ending
doubt	doubtful, dangerous, doubt, dubious, difficult, dishonest, different, definite, doubted, delusional
touch	tactile, tiny, touching, thin, tangible, touch, touched, talented, tall, technical
attempt	ambitious, accomplished, advanced, amazing, awesome, active, able, aggressive, agile, achievable
post	powerful, popular, productive, public, positive, professional, prolific, pretty, promising, persuasive
discover	difficult, different, dangerous, deep, desirable, distinctive, definite, distinct, doing, determined
tell	trustworthy, talented, tall, true, technical, telling, transparent, trusted, tangible, tricky
hit	hard, high, heavy, hot, hit, huge, highly, hurt, helpful, human
name	nice, named, natural, notable, normal, near, noteworthy, noble, new, numerous
share	special, similar, simple, successful, social, sharing, small, strong, significant, serious
spill	serious, small, strong, sensitive, slippery, severe, significant, substantial, sticky, salty
fight	fast, formidable, fierce, fragile, fighting, fit, flexible, fine, frail, famous
