die	death, die, dying, dead
win	winning, win
be	
survive	survival, surviving, survive
fail	failure, fail, failing, failed, fails
succeed	success, successful
live	life, live, living
pass	pass, passing
do	do
cry	crying, cry
know	know, knowledge, knowing
fall	fall, falling, falls, fell, fallen
work	
leave	leave, leaving
not	
come	come
return	return, returned, returns, returning
lose	lose, loss, losing, lost
stay	stay
bite	bite, biting, bitten
tell	the, this, that
answer	a, answer
try	try, this, that, test
explode	explosion, explosive, exploding, explode, exploded
disappear	disappearance, disappear, disappearing
go	go, going
fly	flying, fly, flight
happen	happen, happened
help	help, helping, helpful
run	run
respond	response, respond, responding, retaliation
sue	sue, sued, suing
change	change
remember	remember, remembering, recall
last	lifetime, last, life
too	this, that
eat	eating, eat
have	
listen	listening, listen
pay	payment, pay
miss	miss, missing, mistake, missed, misses
understand	use, usage, understanding, using
retire	retirement, retire, retired
suffer	suffering
see	see, seeing
talk	talk, talking, this
recover	recovery, recover, recovering, recovered
starve	starvation, starving, starve
learn	learning, learn
say	
wait	wait, waiting, waits
stop	stop, stopping
scream	scream, screaming, shout, screams, sound
remain	reuse
finish	finish, finishing, finished
rise	rise, rising
break	break, breaking, broken, broke
follow	following
quit	quitting, quit
lie	lying, lie, lies
disagree	disagreement, disagree, dispute
graduate	graduation, gpa, graduate
burn	burn, burning, burned, burns
end	end, ending
laugh	laughter, laugh, laughing
strike	strike, striking, strikes
smile	smile, smiling
hurt	hurt, harm, hurting
call	call
walk	walking, walk
deliver	delivery, deliver
ask	ask, asking, a
prevail	power
stick	stick, sticky
sleep	sleep, sleeping
apologize	apology, apologizing, apologize
explain	
kill	kill, killing
perish	perish
write	write, writing
vomit	vomit, vomiting
speak	speech, speak, speaking, speaker
fold	fold, folding, folds, folded, flex
agree	agreement, agree, agreed, agreeing
drown	drowning, drown, drowned, death
suffice	
care	care, caring
resign	resignation, resign
exist	existence, exist, exists
teach	teaching, teach, teacher, this
never	never
testify	testimony, testifying, testify, truth
collapse	collapse, chaos, collapsing
vanish	vanishing, vanish
protest	protest
decide	decision, deciding
triumph	triumph
sing	song, singing, sing
stand	standing, stand
rest	rest, resting, rested
count	count, counting
drink	drinking, drink, drunk
continue	continuation, continue
crash	crash, crashing, crashes, crashed
escape	escape, escaping, exile, escapes
fight	fighting, fight
heal	healing, heal, healed, heals
blink	blink, blinking, blinked
soon	
show	
refuse	refuse, refusal, refusing, resistance
choose	choice, choose, choosing
move	move, motion, movement, moving
watch	watch, watching
shine	shine, shining, success, star, shines
matter	meaning
think	thinking, think, thought, this, that
now	now, new
emerge	emergence
grow	growth, grow
visit	visit, visitor, visiting, visited, visitation, visits, visitors
play	play, permission
fit	fit, fitting
suck	suck, sucks, spam
burst	burst, bursting, bubble, breakout
notice	notice, noticing
fade	fade, fading, flame
bleed	bleed, bleeding, blood
again	abuse
share	sharing, share, shared
arrive	a
anyway	abuse
cave	cave
weep	weeping, weep
rebel	rebellion, rebel, revolt
bail	bail, bond
forget	forget, forgetting
read	read, reading
bolt	bolt
retaliate	retaliation, retaliate, revenge
reply	reply, response, respond, replies
crack	crack, cracking, cracked, code
rule	rule, rules
resist	resistance, resist, resisting
appear	appearance, a
appeal	appeal, abuse
disappoint	disappointment, disappointing, disappointed, disappoint
me	misuse, meme
freeze	freeze, freezing, frozen, freezes, froze
pop	pop, popping, popped, pops
sell	sale, selling
shoot	shooting, shoot, shot
eventually	
pray	prayer, pray, praying
drive	driving, drive
take	take, the, this
land	land, landing, landed, launch
complain	complaining, complain, complaint, criticism
thrive	
struggle	struggle, struggling
start	start
stink	stink, smell
turn	turn, this, turning
comply	compliance, comply, coercion, complying
lead	lead, leadership, leader, leading, led
succumb	
hope	hope, hoping
ever	
expire	expiration, expired, expire, expires
hit	hit, hitting
choke	choking, choke, choked
persist	persistence, persistent, persist
vote	voting, vote
make	make
confess	confession, cheating, confessions
snap	snap, snapping, snapped
evolve	evolution, evolve
match	match, matching, matches, matched
approve	approval, approve, authorization, approving
give	give, giving, gift, given
melt	melt, melting, melted, melts
endure	endurance
marry	marriage, marry, marrying
crumble	crumble, collapse
decline	decline, death
always	always, a
publish	publish, publication, publishing, permission
serve	service, serve, serving, served
manage	management, manage, managing, managed
tweet	tweet, twitter, tweeting, this
close	closure, close, closing, closed
march	march, marching
though	this, that, the
hear	hear, hearing
someday	
react	react, reaction, response
sign	signature, sign, signing
look	look
kiss	kiss, kissing, kissed, kisses
intervene	intervention, intervene, intervening, it, interference
ride	riding, ride, rider
perform	performance, perform
obey	obey
hold	holding, hold, holds
settle	settlement, settling, settle
