pred1	pred1Role	pred2	pred2Role	score
A0	0	V0	1	-4.001743295531246
A1	0	V0	1	0.12020740134999856
A2	0	V0	1	-1.7378526911938708
A3	0	V0	1	-0.8544040073069333
A4	0	V0	1	0.7777156827140366
A5	0	V0	1	0.8762532417161087
A6	0	V0	1	0.4251443753803844
A7	0	V0	1	-0.21033080419202996
A8	0	V0	1	0.9791689682115094
A9	0	V0	1	-0.17536427151190492
A10	0	V0	1	-0.16746489930922615
A11	0	V0	1	0.9004082826910276
A12	0	V0	1	-0.1348362383472245
A13	0	V0	1	-0.062274787659926396
A14	0	V0	1	-3.702335317522435
A0	0	V1	1	0.611451725170751
A1	0	V1	1	-3.0671029909073937
A2	0	V1	1	-0.6625191169252487
A3	0	V1	1	0.09584840556478012
A4	0	V1	1	-1.6599204816575468
A5	0	V1	1	0.21618052799693988
A6	0	V1	1	-1.4815352905677992
A7	0	V1	1	0.5536737624122781
A8	0	V1	1	0.2509696920082088
A9	0	V1	1	0.02758112055075021
A10	0	V1	1	-0.501194014094097
A11	0	V1	1	0.15532626998560642
A12	0	V1	1	0.9200789095038342
A13	0	V1	1	-0.5583295592610531
A14	0	V1	1	1.2307569735641115
A0	0	V2	1	0.6780623676391688
A1	0	V2	1	0.7093642223809045
A2	0	V2	1	0.9963060247402649
A3	0	V2	1	-1.6984987628801644
A4	0	V2	1	0.0987194470322911
A5	0	V2	1	-0.1661852208074598
A6	0	V2	1	0.12620550413044868
A7	0	V2	1	-0.6067654061782182
A8	0	V2	1	-5.501841026890757
A9	0	V2	1	-0.2334859984578121
A10	0	V2	1	-0.8766502402018046
A11	0	V2	1	0.047039025002187124
A12	0	V2	1	-0.6320447181035365
A13	0	V2	1	0.5567280498845939
A14	0	V2	1	-2.2105037878499134
A0	0	V3	1	-1.1006090512643503
A1	0	V3	1	0.36685324194719277
A2	0	V3	1	-0.1886042246805223
A3	0	V3	1	1.0196599772907622
A4	0	V3	1	0.16786795709656632
A5	0	V3	1	-2.037031084856201
A6	0	V3	1	0.48910562927521967
A7	0	V3	1	0.007213265869565353
A8	0	V3	1	-0.08101008499402293
A9	0	V3	1	0.4000191355817422
A10	0	V3	1	0.9405387200954093
A11	0	V3	1	-2.7219686161286076
A12	0	V3	1	-1.515484074617739
A13	0	V3	1	-0.41108740288837836
A14	0	V3	1	0.24701019370462873
A0	0	V4	1	0.6093656004313017
A1	0	V4	1	-3.1209657284882457
A2	0	V4	1	0.06664547545304457
A3	0	V4	1	0.6884193601447965
A4	0	V4	1	-0.6940423446298951
A5	0	V4	1	-0.21589886548855702
A6	0	V4	1	-1.8758902520762986
A7	0	V4	1	-0.49496426095005286
A8	0	V4	1	1.1664942415679322
A9	0	V4	1	-1.9670178997947623
A10	0	V4	1	0.303997346964778
A11	0	V4	1	-1.1589734896600512
A12	0	V4	1	1.1356545495611325
A13	0	V4	1	1.0862374965864237
A14	0	V4	1	-0.6236051854321736
P0	0	V0	2	-0.6885836288263772
P1	0	V0	2	-0.7075724146636956
P2	0	V0	2	0.1767308693403671
P3	0	V0	2	0.3260930783811007
P4	0	V0	2	0.5041244482447959
P5	0	V0	2	-3.5101568904032256
P6	0	V0	2	-1.254349936315095
P7	0	V0	2	1.300214606149485
P8	0	V0	2	0.6933225314930689
P9	0	V0	2	-3.9591567438936064
P0	0	V1	2	0.5133003876339572
P1	0	V1	2	-0.6564657376519359
P2	0	V1	2	0.6877540343066149
P3	0	V1	2	-0.12456940421123536
P4	0	V1	2	0.16928679993655774
P5	0	V1	2	0.7497669827738213
P6	0	V1	2	-0.22760478076972207
P7	0	V1	2	-2.396613384741367
P8	0	V1	2	-1.3806863250907722
P9	0	V1	2	0.5054265361302979
P0	0	V2	2	-0.3112748651623783
P1	0	V2	2	-0.19966646071740124
P2	0	V2	2	-2.5219925886774885
P3	0	V2	2	0.6536300276117276
P4	0	V2	2	-1.1178291110624812
P5	0	V2	2	0.09669882703334982
P6	0	V2	2	0.16694074762492905
P7	0	V2	2	-0.27995477280424175
P8	0	V2	2	0.8154152870886193
P9	0	V2	2	0.015612547748691682
P0	0	V3	2	-0.37235234734935596
P1	0	V3	2	0.9155647756838994
P2	0	V3	2	0.2968453017657007
P3	0	V3	2	-1.7123498009882678
P4	0	V3	2	0.0996060100499641
P5	0	V3	2	-0.27763418075715185
P6	0	V3	2	0.6657956713732296
P7	0	V3	2	-0.22613599489118968
P8	0	V3	2	-1.390437122340932
P9	0	V3	2	0.45836743894485776
P0	0	V4	2	1.9557665038780787
P1	0	V4	2	0.05666002155428252
P2	0	V4	2	-3.7340983925291686
P3	0	V4	2	-2.2212948403477695
P4	0	V4	2	0.5305667465289858
P5	0	V4	2	1.0097996567884284
P6	0	V4	2	-1.5853694013205275
P7	0	V4	2	0.23753014958872565
P8	0	V4	2	-1.8682894887611714
P9	0	V4	2	-1.524286540101592
